Järjekord,Viide,Autor(id),Pealkiri,Aasta,Tüüp,Kasutamine (fail),Märkus
1,SMI2024,"Keskkonnaagentuur","Statistilise metsainventuuri välitööde juhend",2024,"Raportal","3-andmed.tex","Eesti ametlik dokumentatsioon, kasutusjuhend"
2,Vilhelmsson2013,"Vilhelmsson, O.","Saproksüülsed liigid ja jämedam lamapuit",2013,"Teadusartikkel","3-andmed.tex","Biodiversiteet, elurikkus, ei leitud otsingus"
3,guo_2011,"Guo et al.","Object-Based Image Analysis (OBIA) ja Random Forest klassifikatsioon metsadel",2011,"Teadusartikkel","2-seotud-tood.tex","OBIA + masinõpe kombinatsioon, 73% korrektsus"
4,mucke_2013,"Mücke et al.","OBIA ja LiDAR kasutamine lamapuidu tuvastamiseks",2013,"Teadusartikkel","2-seotud-tood.tex","75% täpsus avatud aladel, intensiivsusandmed"
5,kaufmann_2024,"Kaufmann et al.","U-Net ResNet-34 puude tuvastamiseks UAV-LS andmetel",2024,"Teadusartikkel","2-seotud-tood.tex","F1-skor 0.73-0.96, kõrge punkt-tihedus 500+ pts/m²"
6,nava_2022,"Filatov & Nava (ligikaudne)","Forest and Water Bodies Segmentation Through Satellite Images Using U-Net",2022,"Teadusartikkel","2-seotud-tood.tex","U-Net arhitektuur, F1=0.82, nDSM raster"
7,lassauce_deadwood_2011,"Lassauce et al.","Deadwood as a Proxy for Forest Biodiversity Potential in Forests Across Europe",2011,"Metaanalüüs","2-seotud-tood.tex","Meta-analüüs lamapuidu ja elurikkuse korrelatsioonist"
8,stokland_biodiversity_2012,"Jogeir N. Stokland, Juha Siitonen, Bengt G. Jonsson","Biodiversity in Dead Wood",2012,"Monograafia","?","Cambridge UP, saproksüülne fauna ja taimestik"
9,kliimaministeerium_looduse_2024,"Kliimaministeerium","Looduse kaitsmine ja jämedamõõtmelise lamapuidu säilitamine",2024,"Poliitikadok.","3-andmed.tex","Eesti strateegiline dokumentatsioon"
10,helm_eesti_2023,"Helm et al.","Eesti metsa andmestik ja analüüs",2023,"Teadusartikkel","3-andmed.tex","Eesti kontekst, metsa omadused"
11,duan_2023,"Duan et al.","Puu tuvastamine PointNet++ abil tihedate pilvedega",2023,"Teadusartikkel","2-seotud-tood.tex","PointNet++ arhitektuur, F1=0.88, 340 pts/m²"
12,lin2017focal,"Tsung-Yi Lin, Priya Goyal, Ross Girshick, Kaiming He, Piotr Dollár","Focal Loss for Dense Object Detection",2017,"Konf. artik.","2-seotud-tood.tex","ICCV 2017, RetinaNet, objekti tuvastamine"
13,milletari2016vnet,"Fausto Milletari, Nassir Navab, Seyed-Ahmad Ahmadi","V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation",2016,"Konf. artik.","?","3D CNN, Dice loss, meditsiinitöötlus (adapteeritav)"
14,salehi2017tversky,"Salehi, Erdogmus, Gholipour","Tversky Loss Function for Image Segmentation Using 3D Fully Convolutional Deep Networks",2017,"Konf. artik.","?","Loss funktsioon, täpsuse-tagasikutse kõver"
15,petsiuk2018rise,"Vitali Petsiuk, Abir Das, Kate Saenko","RISE: Randomized Input Sampling for Explanation of Black-box Models",2018,"Konf. artik.","5-tulemused.tex","BMVC 2018, mudeliinterpretatsiooni meetod"
16,chattopadhyay2018grad,"Chattopadhyay et al.","Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization",2018,"Teadusartikkel","5-tulemused.tex","Visuaaliinterpretatsiooni meetod CNN-idele"
17,fernandez2021hirescam,"Fernández et al.","HiResCAM: High-Resolution Class Activation Mapping for Convolutional Neural Networks",2021,"Teadusartikkel","5-tulemused.tex","Kõrgresolutsioonilised aktivatsioonkaardid"
18,sundararajan2017axiomatic,"Mukund Sundararajan, Ankur Taly, Yan (Q.) Yan","Axiomatic Attribution for Deep Networks (Integrated Gradients)",2017,"Teadusartikkel","?","Interpreteeritavus, Shapley väärtused"
19,mosier1996,"Kathleen L. Mosier, Linda J. Skitka, Mark D. Burdick, Susan T. Heers","Automation Bias, Accountability, and Verification Behaviors",1996,"Teadusartikkel","4-metoodika.tex","Inimese-automation interaktsioon, otsuste eelarv"
20,izmailov2018swa,"Izmailov et al.","Averaging Weights Leads to Wider Optima and Better Generalization",2018,"Teadusartikkel","?","Stochastic Weight Averaging (SWA) treenimistavade"
21,graves_strategic_2012,"Heather Graves, Roger Graves","A Strategic Guide to Technical Communication (Second Edition)",2012,"Õpik","A2-vormistamine.tex","Broadview Press, tehniline kirjutamine"
22,zhu_2021,"Zhu et al.","Mask R-CNN tree segmentation from 3D point clouds",2021,"Teadusartikkel","2-seotud-tood.tex","Instantsipõhine segmenteerimine, mAP=0.85"
23,laarmann_looduse_2026,"Laarmann et al.","Metsa biomass ja looduse uuringud",2026,"Tulevikplaan","?","Eesti kontekst, avaldamise kuupäev teadmata"
24,kliimaministeerium_metsaokosusteemid_2026,"Kliimaministeerium","Metsaökosüsteem ja kaitse strateegia 2026",2026,"Strateg. dok.","?","Eesti tulevikuplaan, ametlik dokumentatsioon"
25,riofrio2022,"Riofrio et al.","Deep Learning Models in Forestry Applications",2022,"Teadusartikkel","?","Metsanduse rakendused, ei leitud kindlat avaldust"
26,shi2025,"Shi et al.","Recent Neural Network Architecture for Deep Learning",2025,"Teadusartikkel","?","Kõige uuemad suunad, konkreetne viide teadmata"
27,fradette2019,"Fradette et al.","Visuaaliseerimise meetodid andmeanalüüsis",2019,"Teadusartikkel","?","Konkreetne pealkiri teadmata"
28,zhang2016,"Zhang et al.","Deep Learning CNN Architecture",2016,"Teadusartikkel","?","Konkreetne viide teadmata, võib olla üldsurveyd"
29,zhang2020,"Zhang et al. (Aston Zhang jt)","Dive into Deep Learning",2020,"Õpik/Üldsurve","?","Kõikehõlmav õpik, konkreetne kasutusmaksetus teadmata"
30,sotoodeh2006,"Sotoodeh","GIS ja ruumiline analüüs",2006,"Teadusartikkel","?","Konkreetne pealkiri teadmata, ei leitud otsingus"
31,lindberg_2013,"Lindberg, N.","Joonsegmentide analüüs lamapuidu tuvastamiseks",2013,"Teadusartikkel","2-seotud-tood.tex","⚠️ VARIANTE: lindberg_detection_2013 on viited.bib-s"
