metric,value
laz,data/lamapuit/laz/436646_2018_madal.laz
fused_surface,data/lamapuit/cdw_experiments_436646_2018_ground_last_vs_last2/median_ground/436646_2018_madal_fused_surface_median_ground_20cm.tif
hag_min,0.0
hag_max,1.3
total_points_seen,32442204
total_mapped_to_grid,32442204
total_in_hag_range,13671669
class6_count_in_hag_range,0
class9_count_in_hag_range,89
class_1_count_in_hag_range,567817
class_2_count_in_hag_range,13103754
class_5_count_in_hag_range,9
class_9_count_in_hag_range,89
return_last_count_in_hag_range,13599992
return_second_last_count_in_hag_range,71677
return_third_last_count_in_hag_range,0
return_unknown_count_in_hag_range,0
return_last_count_after_excluding_6_9,13599903
return_second_last_count_after_excluding_6_9,71677
return_third_last_count_after_excluding_6_9,0
return_unknown_count_after_excluding_6_9,0
