experiment_id,model_name,data_strategy,loss_name,regularization,epochs,batch_size,lr_head,lr_backbone,label_smoothing,patience,seed,n_samples,mean_cv_auc,std_cv_auc,mean_cv_f1,std_cv_f1,mean_cv_precision,mean_cv_recall,best_fold_f1,worst_fold_f1,mean_threshold,training_time_s,use_tta
s2_deep_cnn_attn_full_ce_mixup_tta_1_ep_60_pilot_69193e35,deep_cnn_attn,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,3038,19812,0.9988179925847324,0.000276254943253,0.9695858990106504,0.0021892027310879,0.9787082205575224,0.9606916905905396,0.9735099337748344,0.9674185463659148,0.7459999999999999,7543.970768296043,True
s2_deep_cnn_attn_headlight_full_ce_mixup_tta_1_ep_60_pilot_38345209,deep_cnn_attn_headlight,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,3030,19812,0.9987353067685436,0.0002443293558794,0.968523787940786,0.0030539219329022,0.9744937949466924,0.9626605135359932,0.9728841413311422,0.9652317880794702,0.706,7340.171600482077,True
s2_deep_cnn_attn_dropout_tuned_full_ce_mixup_tta_1_ep_60_pilot_65a877e9,deep_cnn_attn_dropout_tuned,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,3042,19812,0.9988114014540376,0.0003835326088308,0.9678412110613072,0.0048440893276216,0.9751734531220698,0.9606986665235706,0.9734660033167496,0.9589490968801314,0.748,7009.14107337303,True
s2_deep_cnn_attn_headwide_full_ce_mixup_tta_1_ep_60_pilot_dbfbab2a,deep_cnn_attn_headwide,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,3034,19812,0.9985123519210032,0.0003074893660861,0.9659408200711028,0.0043188029305698,0.976041410543049,0.9561079659789112,0.9692946058091286,0.9574468085106383,0.7379999999999999,7161.628023361904,True
s2_deep_cnn_attn_dropout_tuned_full_ce_mixup_tta_0_ep_60_pilot_25878e77,deep_cnn_attn_dropout_tuned,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,3039,19812,0.9973818014505464,0.0006387982537747,0.9656539252486164,0.0027499631671285,0.9737383702349728,0.9577446271900406,0.9692946058091286,0.9609958506224068,0.7539999999999999,5215.748554778984,False
s2_deep_cnn_attn_headlight_full_focal_mixup_tta_0_ep_60_pilot_0a5a14e0,deep_cnn_attn_headlight,full,focal,mixup,60,32,0.0005,0.0005,0.05,10,3028,19812,0.997942554906368,0.0004762267075873,0.965361519119978,0.0059006447914483,0.9814697911798218,0.949889189986853,0.9698492462311558,0.9538203190596136,0.7599999999999999,6015.487000863999,False
s1_deep_cnn_attn_headlight_full_ce_mixup_60_5_a3deafa8,deep_cnn_attn_headlight,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,2028,19812,0.9982682369783678,0.0005951313858603,0.9638662003998938,0.0045161209285672,0.975261377882896,0.9528410828794506,0.9720394736842104,0.9592684954280964,0.7919999999999999,5309.272746689967,False
s1_deep_cnn_attn_headwide_full_ce_mixup_60_5_edb11cc2,deep_cnn_attn_headwide,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,2029,19812,0.9976667191359596,0.0006048171096098,0.9638375669178596,0.0063120911177327,0.97117113169003,0.956769606396394,0.9728841413311422,0.9539748953974896,0.758,7393.145058928989,False
s2_deep_cnn_attn_dropout_tuned_full_focal_mixup_tta_0_ep_60_pilot_76833d98,deep_cnn_attn_dropout_tuned,full,focal,mixup,60,32,0.0005,0.0005,0.05,10,3040,19812,0.9976613704960122,0.0005800887211394,0.9637932645614538,0.0055777576911511,0.9682819466513914,0.959388800944434,0.968058968058968,0.9530090684253916,0.716,5195.104857878992,False
s1_01_deep_cnn_attn,deep_cnn_attn,full,ce,mixup,60,32,0.0005,0.0005,0.05,10,2027,19812,0.9975954822199888,0.0005888689966878,0.9636725275594488,0.0050792248594701,0.9720528488724708,0.955454374714926,0.969243557772236,0.9547325102880658,0.746,6122.444264560007,
