input_laz,output_chm,status,error,hag_max_requested,resolution_requested,tag_hag_max,tag_resolution,tag_source_laz,tag_proc_date,width,height,resolution_x,resolution_y,crs,nodata,total_pixels,valid_pixels,nodata_pixels,nodata_pct,hag_min,hag_max_observed,hag_mean,hag_std,hag_p50,hag_p95,hag_p99
data/lamapuit/laz/401675_2022_madal.laz,data/lamapuit/chm_max_hag_13/401675_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,401675_2022_madal.laz,2026-03-23T15:30:18.212544Z,5000,3735,0.2,0.2,,-9999.0,18675000,10568068,8106932,43.41061311914324,0.0,1.2999999523162842,0.7641937136650085,0.6345964670181274,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/401676_2022_madal.laz,data/lamapuit/chm_max_hag_13/401676_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,401676_2022_madal.laz,2026-03-23T15:30:18.211265Z,5000,3615,0.2,0.2,,-9999.0,18075000,9756229,8318771,46.02362932226833,0.0,1.2999999523162842,0.5708557963371277,0.6403645277023315,6.126612106527318e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/401677_2022_madal.laz,data/lamapuit/chm_max_hag_13/401677_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,401677_2022_madal.laz,2026-03-23T15:30:17.909129Z,5000,3336,0.2,0.2,,-9999.0,16680000,9792932,6887068,41.28937649880096,0.0,1.2999999523162842,0.6961898803710938,0.6424694657325745,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/401678_2022_madal.laz,data/lamapuit/chm_max_hag_13/401678_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,401678_2022_madal.laz,2026-03-23T15:30:18.211857Z,5000,3099,0.2,0.2,,-9999.0,15495000,9294050,6200950,40.019038399483705,0.0,1.2999999523162842,0.7953308820724487,0.6265018582344055,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/chm_max_hag_13/436646_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436646_2018_madal.laz,2026-03-23T15:30:41.262599Z,5000,5000,0.2,0.2,,-9999.0,25000000,17342964,7657036,30.628144,0.0,1.2999999523162842,0.5852367281913757,0.6420460343360901,0.0076166256330907345,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436646_2020_madal.laz,data/lamapuit/chm_max_hag_13/436646_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436646_2020_madal.laz,2026-03-23T15:30:47.610053Z,5000,5000,0.2,0.2,,-9999.0,25000000,18981035,6018965,24.07586,0.0,1.2999999523162842,0.6684476137161255,0.6438202857971191,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436646_2022_madal.laz,data/lamapuit/chm_max_hag_13/436646_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436646_2022_madal.laz,2026-03-23T15:31:03.383636Z,5000,5000,0.2,0.2,,-9999.0,25000000,21274297,3725703,14.902812,0.0,1.2999999523162842,0.7090893983840942,0.6396397352218628,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436646_2024_madal.laz,data/lamapuit/chm_max_hag_13/436646_2024_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436646_2024_madal.laz,2026-03-23T15:30:43.025045Z,5000,5000,0.2,0.2,,-9999.0,25000000,18434364,6565636,26.262544,0.0,1.2999999523162842,0.7694681882858276,0.6282770037651062,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436647_2018_madal.laz,data/lamapuit/chm_max_hag_13/436647_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436647_2018_madal.laz,2026-03-23T15:31:06.820324Z,5000,5000,0.2,0.2,,-9999.0,25000000,17743117,7256883,29.027532,0.0,1.2999999523162842,0.737550675868988,0.6402534246444702,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436647_2020_madal.laz,data/lamapuit/chm_max_hag_13/436647_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436647_2020_madal.laz,2026-03-23T15:31:15.470784Z,5000,5000,0.2,0.2,,-9999.0,25000000,19282042,5717958,22.871832,0.0,1.2999999523162842,0.7403793931007385,0.6390185356140137,1.2999999523162842,1.2999999523162842,1.2999999523162842
