raster,total,cdw,no_cdw,cdw_ratio
401676_2022_madal_chm_max_hag_20cm.tif,313,130,183,0.41533546325878595
401677_2022_madal_chm_max_hag_20cm.tif,336,101,235,0.3005952380952381
406455_2021_tava_chm_max_hag_20cm.tif,3231,1735,1496,0.5369854534199938
406455_2023_mets_chm_max_hag_20cm.tif,3230,206,3024,0.06377708978328174
436646_2018_madal_chm_max_hag_20cm.tif,650,180,470,0.27692307692307694
436646_2020_madal_chm_max_hag_20cm.tif,720,198,522,0.275
436646_2022_madal_chm_max_hag_20cm.tif,785,223,562,0.2840764331210191
436646_2024_madal_chm_max_hag_20cm.tif,717,152,565,0.21199442119944212
436647_2018_madal_chm_max_hag_20cm.tif,539,329,210,0.6103896103896104
436647_2020_madal_chm_max_hag_20cm.tif,554,317,237,0.572202166064982
436647_2022_madal_chm_max_hag_20cm.tif,559,340,219,0.6082289803220036
436647_2024_madal_chm_max_hag_20cm.tif,645,288,357,0.44651162790697674
436648_2018_madal_chm_max_hag_20cm.tif,368,217,151,0.5896739130434783
436648_2020_madal_chm_max_hag_20cm.tif,411,240,171,0.583941605839416
436648_2022_madal_chm_max_hag_20cm.tif,453,247,206,0.5452538631346578
436648_2024_madal_chm_max_hag_20cm.tif,514,259,255,0.5038910505836576
437646_2018_madal_chm_max_hag_20cm.tif,558,210,348,0.3763440860215054
437646_2020_madal_chm_max_hag_20cm.tif,641,216,425,0.3369734789391576
437646_2024_madal_chm_max_hag_20cm.tif,77,3,74,0.03896103896103896
437647_2018_madal_chm_max_hag_20cm.tif,100,5,95,0.05
437647_2020_madal_chm_max_hag_20cm.tif,143,8,135,0.055944055944055944
437647_2022_madal_chm_max_hag_20cm.tif,555,9,546,0.016216216216216217
437647_2024_madal_chm_max_hag_20cm.tif,171,8,163,0.04678362573099415
437648_2018_madal_chm_max_hag_20cm.tif,23,8,15,0.34782608695652173
437648_2020_madal_chm_max_hag_20cm.tif,65,43,22,0.6615384615384615
437648_2024_madal_chm_max_hag_20cm.tif,30,16,14,0.5333333333333333
441643_2023_tava_chm_max_hag_20cm.tif,777,0,777,0.0
