raster,row_off,col_off,chunk_size,label,source,annotator,model_name,model_prob,timestamp
406455_2023_mets_chm_max_hag_20cm.tif,0,0,128,no_cdw,manual,,,0.00001,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,64,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,128,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,192,128,no_cdw,manual,,,0.00001,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,256,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,384,128,no_cdw,manual,,,0.00278,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,448,128,no_cdw,manual,,,0.00005,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,512,128,no_cdw,manual,,,0.01276,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,576,128,no_cdw,manual,,,0.00004,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,640,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,704,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,768,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,832,128,no_cdw,manual,,,0.00000,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,896,128,no_cdw,manual,,,0.00125,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,960,128,no_cdw,manual,,,0.00227,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1024,128,no_cdw,manual,,,0.00848,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1088,128,no_cdw,manual,,,0.00073,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1152,128,no_cdw,manual,,,0.00023,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1216,128,no_cdw,manual,,,0.00347,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1280,128,no_cdw,manual,,,0.01794,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1344,128,no_cdw,manual,,,0.00347,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1408,128,no_cdw,manual,,,0.00043,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1472,128,no_cdw,manual,,,0.00375,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,1536,128,no_cdw,manual,,,0.3266,2026-03-04T08:57:56
406455_2023_mets_chm_max_hag_20cm.tif,0,1856,128,no_cdw,manual,,,0.1859,2026-03-04T09:00:31
406455_2023_mets_chm_max_hag_20cm.tif,0,2048,128,cdw,manual,,,0.99995,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2112,128,cdw,manual,,,0.99984,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2176,128,cdw,manual,,,0.98391,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2432,128,no_cdw,manual,,,0.24800,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2496,128,no_cdw,manual,,,0.01077,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2560,128,no_cdw,manual,,,0.00076,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,2944,128,cdw,manual,,,0.98794,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3008,128,cdw,manual,,,0.99947,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3072,128,cdw,manual,,,0.99902,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3264,128,no_cdw,manual,,,0.00087,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3328,128,no_cdw,manual,,,0.00083,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3392,128,no_cdw,manual,,,0.00157,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3456,128,no_cdw,manual,,,0.00074,2026-02-28T22:08:23
406455_2023_mets_chm_max_hag_20cm.tif,0,3520,128,no_cdw,manual,,,0.00001,2026-02-28T22:08:23
