raster,row_off,col_off,chunk_size,label,source,annotator,model_name,model_prob,timestamp
581543_2023_madal_chm_max_hag_20cm.tif,64,512,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9996,2026-03-23T21:12:22
581543_2023_madal_chm_max_hag_20cm.tif,128,512,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9997,2026-03-23T21:12:22
581543_2023_madal_chm_max_hag_20cm.tif,128,2176,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9998,2026-03-23T21:12:23
581543_2023_madal_chm_max_hag_20cm.tif,192,2240,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9996,2026-03-23T21:12:23
581543_2023_madal_chm_max_hag_20cm.tif,320,2368,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9998,2026-03-23T21:12:24
581543_2023_madal_chm_max_hag_20cm.tif,384,1344,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9995,2026-03-23T21:12:24
581543_2023_madal_chm_max_hag_20cm.tif,384,2752,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9995,2026-03-23T21:12:25
581543_2023_madal_chm_max_hag_20cm.tif,448,1792,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9997,2026-03-23T21:12:25
581543_2023_madal_chm_max_hag_20cm.tif,512,1600,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9997,2026-03-23T21:12:25
581543_2023_madal_chm_max_hag_20cm.tif,512,1792,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9997,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,512,2944,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9995,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,576,1600,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9998,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,576,1664,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9996,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,576,1856,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9995,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,576,1920,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9998,2026-03-23T21:12:26
581543_2023_madal_chm_max_hag_20cm.tif,768,1408,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9996,2026-03-23T21:12:27
581543_2023_madal_chm_max_hag_20cm.tif,832,1408,128,cdw,auto_threshold_gate_v2,,Ensemble(4 models),0.9998,2026-03-23T21:12:28
