model_source,model_experiment_id,model_name,model_score_f1,model_checkpoint,threshold,year,chm_name,chm_path,variant_id,source_root,relative_parent,n_tiles,tp,fp,tn,fn,accuracy,precision,recall,f1,auc,status
v3,s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,0.9881644777969235,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_convnext_small_full_ce_mixup_40_5_3b1439db/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,0.9830078371006017,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021,deep_cnn_attn_dropout_tuned,0.9486600034622444,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79,convnext_tiny,0.9232819893515117,/workspace/output/model_search_v2/checkpoints/s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976,convnext_small,0.9216803516478403,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,0.9881644777969235,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_convnext_small_full_ce_mixup_40_5_3b1439db/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,0.9830078371006017,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021,deep_cnn_attn_dropout_tuned,0.9486600034622444,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79,convnext_tiny,0.9232819893515117,/workspace/output/model_search_v2/checkpoints/s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976,convnext_small,0.9216803516478403,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,0.9881644777969235,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_convnext_small_full_ce_mixup_40_5_3b1439db/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,0.9830078371006017,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v3,s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021,deep_cnn_attn_dropout_tuned,0.9486600034622444,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_deep_cnn_attn_dropout_tuned_full_ce_mixup_60_5_5766c021/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79,convnext_tiny,0.9232819893515117,/workspace/output/model_search_v2/checkpoints/s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
v2,s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976,convnext_small,0.9216803516478403,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976/fold1.pt,,2018,436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,314,,,,,,,,,,dry_run
