model_source,model_experiment_id,model_name,model_score_f1,model_checkpoint,threshold,year,chm_name,chm_path,variant_id,source_root,relative_parent,status,n_tiles,tp,fp,tn,fn,accuracy,precision,recall,f1,auc
v3,s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,0.9881644777969235,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_convnext_small_full_ce_mixup_40_5_3b1439db/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,1,1,291,21,0.9299363057324841,0.5,0.045454545454545456,0.08333333333333334,0.9489414694894147
v3,s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,0.9830078371006017,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.9461394769613948
v2,s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79,convnext_tiny,0.9232819893515117,/workspace/output/model_search_v2/checkpoints/s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.6580012453300125
v2,s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976,convnext_small,0.9216803516478403,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.663293897882939
v2,s2_convnext_small_full_focal_mixup_tta_0_ep_60_focused_3e06b9c6,convnext_small,0.9206382019319379,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_focal_mixup_tta_0_ep_60_focused_3e06b9c6/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_all_20cm.tif,madal_cdw_features_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,2,2,290,20,0.9299363057324841,0.5,0.09090909090909091,0.15384615384615385,0.8603673723536738
v3,s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,0.9881644777969235,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_convnext_small_full_ce_mixup_40_5_3b1439db/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,3,1,291,19,0.9363057324840764,0.75,0.13636363636363635,0.23076923076923075,0.9452054794520548
v3,s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,0.9830078371006017,/workspace/output/model_search_v3_academic_leakage26/checkpoints/s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.9405354919053549
v2,s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79,convnext_tiny,0.9232819893515117,/workspace/output/model_search_v2/checkpoints/s2_convnext_tiny_full_ce_mixup_tta_1_ep_60_focused_3fb56d79/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.660024906600249
v2,s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976,convnext_small,0.9216803516478403,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_ce_mixup_swa_tta_0_ep_60_focused_df4d4976/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,0,0,292,22,0.9299363057324841,0.0,0.0,0.0,0.6731008717310087
v2,s2_convnext_small_full_focal_mixup_tta_0_ep_60_focused_3e06b9c6,convnext_small,0.9206382019319379,/workspace/output/model_search_v2/checkpoints/s2_convnext_small_full_focal_mixup_tta_0_ep_60_focused_3e06b9c6/fold1.pt,0.5,2018,436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,ok,314,1,2,290,21,0.9267515923566879,0.3333333333333333,0.045454545454545456,0.08,0.8807596513075965
