variant_id,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_years,n_cases
madal_chm_max_hag_20cm_last2,1.0,1.0,1.0,1.0,1.0,1,5
madal_classified_myria3d_chm_max_hag_20cm_all,1.0,1.0,1.0,1.0,1.0,1,5
madal_classified_myria3d_chm_max_hag_20cm_last2,1.0,1.0,1.0,1.0,1.0,1,5
madal_reclassified_pdal_chm_max_hag_20cm_all,1.0,1.0,1.0,1.0,1.0,1,5
madal_reclassified_pdal_chm_max_hag_20cm_last2,1.0,1.0,1.0,1.0,1.0,1,5
madal_chm_max_hag_20cm_last,0.9953488372093023,1.0,1.0,0.990909090909091,0.9993630573248407,1,5
madal_classified_myria3d_chm_max_hag_20cm_last,0.9953488372093023,1.0,1.0,0.990909090909091,0.9993630573248407,1,5
madal_reclassified_pdal_chm_max_hag_20cm_last,0.9953488372093023,1.0,1.0,0.990909090909091,0.9993630573248407,1,5
madal_exp_return_chm13_lowest_ground_last_20cm,0.8671418661606471,0.9799178601496723,0.9807253447827219,0.7809572691686514,0.9675946377438973,4,45
madal_exp_return_chm13_lowest_ground_all_20cm,0.8669679396684028,0.9777842507132066,0.979150844655577,0.7821677137225918,0.9622149166933381,4,20
madal_exp_return_chm13_lowest_ground_last2_20cm,0.8669679396684028,0.9777842507132066,0.979150844655577,0.7821677137225918,0.9622149166933381,4,20
madal_exp_return_chm13_median_ground_all_20cm,0.826966390368848,0.9750534215951688,0.928232131611632,0.7636856368563686,0.9674295472776498,4,25
madal_exp_return_chm13_median_ground_last2_20cm,0.826966390368848,0.975054574200056,0.928232131611632,0.7636856368563686,0.9674295472776498,4,25
madal_exp_return_chm13_median_ground_last_20cm,0.8148279180629282,0.9525846765068243,0.9061004989269743,0.7607200049273221,0.9697204859245353,4,25
madal_exp_intensity_04_13_lowest_ground_all_20cm,0.8044119589009533,0.9832003251814744,0.8900744701226566,0.7528362897265336,0.9545838618582495,4,20
madal_exp_intensity_04_13_lowest_ground_last2_20cm,0.8044119589009533,0.9832003251814744,0.8900744701226566,0.7528362897265336,0.9545838618582495,4,20
madal_exp_intensity_04_13_median_ground_last2_20cm,0.7947874244755905,0.9849095549411475,0.8909681395975234,0.738224470312885,0.9537505753438674,4,20
madal_exp_intensity_04_13_median_ground_last_20cm,0.7489028195212585,0.9724780022690436,0.8305445878468781,0.7015174611973393,0.9270394147390661,4,20
madal_exp_intensity_04_13_lowest_ground_last_20cm,0.7483659477660713,0.9716566016199908,0.8270124211489345,0.7022965939886672,0.9265787451242578,4,20
madal_exp_intensity_04_13_median_ground_all_20cm,0.6832177144521182,0.9485950481144676,0.7727084197239958,0.6378523035230352,0.9391788042241385,4,25
madal_exp_return_chm13_lowest_all_last_20cm,0.6781203376322447,0.9462113050566624,0.9209062199821387,0.5604383947879883,0.9302692605179557,4,45
madal_exp_intensity_04_13_lowest_all_last_20cm,0.6416257039157756,0.9427776559325821,0.6170349145405012,0.7332039911308204,0.8942570430009535,4,20
madal_exp_intensity_04_13_lowest_all_last2_20cm,0.6202056611908784,0.9397185628481566,0.6276076439925913,0.6527646895787139,0.8978407273840838,4,20
madal_chm_max_hag_20cm,0.5738371443711884,0.9898727195352472,0.7746987951807229,0.5518596791081547,0.9177352638179169,4,40
madal_delta_vs_original_median_all_last_20cm,0.496808230746338,0.9230778512307831,0.7442344347240795,0.40290096082779014,0.8748587176510652,4,20
madal_exp_return_chm13_lowest_all_last2_20cm,0.48511033701457124,0.9049461215830977,0.8512163315600736,0.35987004188223704,0.8815372194990079,4,20
madal_exp_return_chm13_median_all_last_20cm,0.4673876561040715,0.923159421583003,0.755186472058266,0.36519832471051983,0.8832518995186134,4,50
madal_exp_intensity_04_13_lowest_all_all_20cm,0.458255974498946,0.9013607514306377,0.5096999404698536,0.4476619857107662,0.8834399544115705,4,25
