config,run,best_epoch,train_box_loss,train_seg_loss,val_box_loss,val_seg_loss,mAP50_B,mAP50_95_B,mAP50_M,mAP50_95_M
exp7_conservative,exp7_conservative_run000_seed8270,101,2.26946,2.5975,2.52299,4.4458,0.08932,0.05125,0.08639,0.02966
exp7_conservative,exp7_conservative_run001_seed1860,35,2.94336,3.27277,3.07915,5.88501,0.01583,0.00545,0.04325,0.01323
exp7_conservative,exp7_conservative_run002_seed6390,1,3.65924,4.80414,3.63791,4.99878,0.01554,0.01078,0.01525,0.01058
exp7_conservative,exp7_conservative_run003_seed6191,87,2.28091,2.61917,2.96778,3.67676,0.08351,0.03857,0.10402,0.02917
exp7_conservative,exp7_conservative_run004_seed6734,92,2.35015,2.75527,2.94218,4.68384,0.0561,0.02999,0.05381,0.02595
exp7_conservative,exp7_conservative_run005_seed7265,114,2.11581,2.63678,2.96776,3.79761,0.08455,0.03929,0.08116,0.03467
exp7_conservative,exp7_conservative_run006_seed1466,125,2.07966,2.52843,2.64029,3.73169,0.09777,0.05016,0.07387,0.03038
exp7_conservative,exp7_conservative_run007_seed5426,145,1.91454,2.05716,2.69207,3.78296,0.11222,0.04627,0.12443,0.03144
exp7_conservative,exp7_conservative_run008_seed6578,110,2.09232,2.38517,2.71961,6.61011,0.08913,0.04336,0.0845,0.03155
exp7_conservative,exp7_conservative_run009_seed9322,41,2.72483,3.077,3.163,4.99878,0.02195,0.01148,0.02679,0.00684
exp7_conservative,exp7_conservative_run010_seed2685,107,2.11271,2.5104,3.14173,3.80127,0.06885,0.03353,0.08183,0.02568
exp7_conservative,exp7_conservative_run011_seed1769,86,2.27091,2.58661,2.96479,12.2681,0.07562,0.0281,0.10552,0.02404
exp7_conservative,exp7_conservative_run012_seed7949,87,2.35289,2.68918,2.9865,4.3689,0.10914,0.04269,0.11906,0.03181
exp7_conservative,exp7_conservative_run013_seed3433,98,2.1374,2.46343,2.99138,4.5813,0.09843,0.03863,0.09372,0.0257
exp7_conservative,exp7_conservative_run014_seed6311,56,2.52935,2.81228,3.0036,4.87793,0.06127,0.03034,0.07742,0.02781
exp7_conservative,exp7_conservative_run015_seed6051,86,2.3144,2.65297,3.19583,4.69849,0.05866,0.02363,0.06781,0.01785
exp7_conservative,exp7_conservative_run016_seed7420,48,2.71648,3.10382,3.18304,96.3867,0.0357,0.01225,0.03073,0.01324
exp7_conservative,exp7_conservative_run017_seed2184,113,2.31479,2.63884,2.67978,4.29565,0.07363,0.03577,0.07213,0.03291
exp7_conservative,exp7_conservative_run018_seed5555,113,2.19814,2.62389,2.89829,3.95142,0.07821,0.04299,0.07826,0.04052
exp7_conservative,exp7_conservative_run019_seed4385,85,2.36438,2.92809,2.96401,3.85986,0.10111,0.04101,0.10327,0.02875
exp7_conservative,exp7_conservative_run020_seed7396,113,2.20797,2.5806,2.69096,8.26904,0.08435,0.04324,0.08779,0.03054
exp7_conservative,exp7_conservative_run021_seed9666,101,2.25394,2.58209,3.15315,4.08691,0.08791,0.03811,0.08548,0.02711
exp7_conservative,exp7_conservative_run022_seed3558,88,2.25753,2.6183,2.89569,8.32031,0.0841,0.03687,0.09292,0.03231
exp7_conservative,exp7_conservative_run023_seed8849,102,2.24066,2.6004,2.86091,4.50073,0.08972,0.04251,0.08748,0.04059
exp7_conservative,exp7_conservative_run024_seed3047,100,2.23343,2.57019,2.60477,3.84888,0.09598,0.05635,0.09337,0.04037
exp7_conservative,exp7_conservative_run025_seed3747,86,2.12326,2.63883,2.93581,4.90723,0.07858,0.04161,0.08299,0.02956
exp7_conservative,exp7_conservative_run026_seed1189,143,1.97599,2.4421,2.55346,3.66028,0.09968,0.06323,0.10326,0.03062
exp7_conservative,exp7_conservative_run027_seed3734,29,2.91317,3.16182,,,0.00074,0.00022,0.00054,9e-05
exp7_conservative,exp7_conservative_run028_seed4005,78,2.41668,2.77032,2.73331,3.73535,0.13978,0.06824,0.11251,0.03178
exp7_conservative,exp7_conservative_run029_seed5658,112,2.00074,2.63136,2.69491,4.03198,0.09604,0.05,0.09057,0.03695
exp7_conservative,exp7_conservative_run030_seed2899,113,2.25449,2.64101,2.72103,8.47412,0.11329,0.05964,0.1098,0.04159
exp7_conservative,exp7_conservative_run031_seed8734,98,2.23339,2.52619,2.84143,3.87085,0.08751,0.0466,0.09072,0.03385
exp7_conservative,exp7_conservative_run032_seed2267,25,,,,,0.02312,0.00467,0.01527,0.00458
exp7_conservative,exp7_conservative_run033_seed2528,56,2.52199,2.77895,3.13779,3.90381,0.06593,0.02717,0.0885,0.03602
exp7_conservative,exp7_conservative_run034_seed4556,112,2.05916,2.65328,2.86651,3.83423,0.06177,0.03234,0.06432,0.02398
exp7_conservative,exp7_conservative_run035_seed4890,86,2.2603,2.63209,3.03327,3.84155,0.09261,0.0426,0.10393,0.02981
