kaardiruut,filename,url,size_bytes,mapsheet,year,campaign,sample_id,laz_path
401675,401675_2022_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=401675&andmetyyp=lidar_laz_madal&dl=1&f=401675_2022_madal.laz&no_cache=69b49d4daf1cd&page_id=614,263800000,401675,2022,madal,401675_2022_madal,data/lamapuit/laz/401675_2022_madal.laz
401676,401676_2022_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=401676&andmetyyp=lidar_laz_madal&dl=1&f=401676_2022_madal.laz&no_cache=69b49d4e90493&page_id=614,203200000,401676,2022,madal,401676_2022_madal,data/lamapuit/laz/401676_2022_madal.laz
401677,401677_2022_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=401677&andmetyyp=lidar_laz_madal&dl=1&f=401677_2022_madal.laz&no_cache=69b49d4f7ce07&page_id=614,232800000,401677,2022,madal,401677_2022_madal,data/lamapuit/laz/401677_2022_madal.laz
401678,401678_2022_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=401678&andmetyyp=lidar_laz_madal&dl=1&f=401678_2022_madal.laz&no_cache=69b49d5052dc6&page_id=614,242700000,401678,2022,madal,401678_2022_madal,data/lamapuit/laz/401678_2022_madal.laz
436646,436646_2018_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436646&andmetyyp=lidar_laz_madal&dl=1&f=436646_2018_madal.laz&no_cache=69b49d47d014b&page_id=614,266500000,436646,2018,madal,436646_2018_madal,data/lamapuit/laz/436646_2018_madal.laz
436646,436646_2020_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436646&andmetyyp=lidar_laz_madal&dl=1&f=436646_2020_madal.laz&no_cache=69b49d47b4b64&page_id=614,405400000,436646,2020,madal,436646_2020_madal,data/lamapuit/laz/436646_2020_madal.laz
436646,436646_2022_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436646&andmetyyp=lidar_laz_madal&dl=1&f=436646_2022_madal.laz&no_cache=69b49d478bbcf&page_id=614,785500000,436646,2022,madal,436646_2022_madal,data/lamapuit/laz/436646_2022_madal.laz
436646,436646_2024_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436646&andmetyyp=lidar_laz_madal&dl=1&f=436646_2024_madal.laz&no_cache=69b49d476eba5&page_id=614,478100000,436646,2024,madal,436646_2024_madal,data/lamapuit/laz/436646_2024_madal.laz
436647,436647_2018_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436647&andmetyyp=lidar_laz_madal&dl=1&f=436647_2018_madal.laz&no_cache=69b49d48c0e89&page_id=614,328100000,436647,2018,madal,436647_2018_madal,data/lamapuit/laz/436647_2018_madal.laz
436647,436647_2020_madal.laz,https://geoportaal.maaamet.ee/index.php?lang_id=1&plugin_act=otsing&kaardiruut=436647&andmetyyp=lidar_laz_madal&dl=1&f=436647_2020_madal.laz&no_cache=69b49d48a5370&page_id=614,477500000,436647,2020,madal,436647_2020_madal,data/lamapuit/laz/436647_2020_madal.laz
